tweet_id,_true_intent,_true_escalate,_true_escalate_reason
100000,delivery_delay,False,
100002,order_status_inquiry,True,explicit human/manager or legal/fraud escalation trigger phrase
100004,refund_or_return,False,
100006,damaged_or_wrong_item,False,
100008,account_or_login_issue,True,explicit human/manager or legal/fraud escalation trigger phrase
100010,billing_or_charge_dispute,False,
100012,general_feedback,False,
100014,delivery_delay,False,
100016,order_status_inquiry,False,
100018,refund_or_return,False,
100020,damaged_or_wrong_item,False,
100022,account_or_login_issue,True,explicit human/manager or legal/fraud escalation trigger phrase
100024,billing_or_charge_dispute,False,
100026,general_feedback,False,
100028,delivery_delay,False,
100030,order_status_inquiry,False,
100032,refund_or_return,False,
100034,damaged_or_wrong_item,False,
100036,account_or_login_issue,False,
100038,billing_or_charge_dispute,False,
100040,general_feedback,False,
100042,delivery_delay,True,explicit human/manager or legal/fraud escalation trigger phrase
100044,order_status_inquiry,False,
100046,refund_or_return,False,
100048,damaged_or_wrong_item,False,
100050,account_or_login_issue,False,
100052,billing_or_charge_dispute,False,
100054,general_feedback,False,
100056,delivery_delay,False,
100058,order_status_inquiry,False,
100060,refund_or_return,False,
100062,damaged_or_wrong_item,False,
100064,account_or_login_issue,False,
100066,billing_or_charge_dispute,False,
100068,general_feedback,True,explicit human/manager or legal/fraud escalation trigger phrase
100070,delivery_delay,False,
100072,order_status_inquiry,False,
100074,refund_or_return,True,explicit human/manager or legal/fraud escalation trigger phrase
100076,damaged_or_wrong_item,False,
100078,account_or_login_issue,False,
100080,billing_or_charge_dispute,False,
100082,general_feedback,False,
100084,delivery_delay,False,
100086,order_status_inquiry,False,
100088,refund_or_return,False,
100090,damaged_or_wrong_item,False,
100092,account_or_login_issue,False,
100094,billing_or_charge_dispute,True,explicit human/manager or legal/fraud escalation trigger phrase
100096,general_feedback,False,
100098,delivery_delay,False,
100100,order_status_inquiry,False,
100102,refund_or_return,False,
100104,damaged_or_wrong_item,False,
100106,account_or_login_issue,False,
100108,billing_or_charge_dispute,False,
100110,general_feedback,False,
100112,delivery_delay,False,
100114,order_status_inquiry,False,
100116,refund_or_return,False,
100118,damaged_or_wrong_item,False,
100120,account_or_login_issue,False,
100122,billing_or_charge_dispute,False,
100124,general_feedback,False,
100126,delivery_delay,False,
100128,order_status_inquiry,False,
100130,refund_or_return,False,
100132,damaged_or_wrong_item,False,
100134,account_or_login_issue,False,
100136,billing_or_charge_dispute,False,
100138,general_feedback,False,
100140,delivery_delay,False,
100142,order_status_inquiry,False,
100144,refund_or_return,False,
100146,damaged_or_wrong_item,False,
100148,account_or_login_issue,False,
100150,billing_or_charge_dispute,False,
100152,general_feedback,False,
100154,delivery_delay,False,
100156,order_status_inquiry,True,explicit human/manager or legal/fraud escalation trigger phrase
100158,refund_or_return,False,
100160,damaged_or_wrong_item,False,
100162,account_or_login_issue,False,
100164,billing_or_charge_dispute,True,explicit human/manager or legal/fraud escalation trigger phrase
100166,general_feedback,False,
100168,delivery_delay,False,
100170,order_status_inquiry,False,
100172,refund_or_return,False,
100174,damaged_or_wrong_item,False,
100176,account_or_login_issue,False,
100178,billing_or_charge_dispute,True,explicit human/manager or legal/fraud escalation trigger phrase
